episode,reward,steps,loss
678,18,23,None
679,19,24,None
680,15,20,None
681,21,26,None
682,9,14,None
683,14,19,None
684,16,21,None
685,22,27,None
686,19,24,None
687,21,26,None
688,24,29,None
689,29,24,None
690,19,24,None
691,10,15,None
692,22,27,None
693,56,31,None
694,15,20,None
695,21,26,None
696,13,18,None
697,22,27,None
698,19,24,None
699,23,28,None
700,21,26,None
701,20,25,None
702,20,25,None
703,30,25,None
704,51,36,None
705,18,23,None
706,31,26,None
707,18,23,None
708,19,24,None
709,19,24,None
710,13,18,None
711,13,18,None
712,22,27,None
713,43,38,None
714,48,33,None
715,31,26,None
716,24,29,None
717,31,26,None
718,74,39,None
719,13,18,None
720,20,25,None
721,20,25,None
722,18,23,None
723,16,21,None
724,31,26,None
725,47,32,None
726,17,22,None
727,35,30,None
728,24,29,None
729,19,24,None
730,26,31,None
731,23,28,None
732,22,27,None
733,16,21,None
734,11,16,None
735,16,21,None
736,47,32,None
737,23,28,None
738,66,41,None
739,17,22,None
740,11,16,None
741,10,15,None
742,22,27,None
743,23,28,None
744,21,26,None
745,54,29,None
746,13,18,None
747,9,14,None
748,20,25,None
749,13,18,None
750,18,23,None
751,23,28,None
752,15,20,None
753,19,24,None
754,27,22,None
755,45,30,None
756,33,28,None
757,17,22,None
758,9,14,None
759,19,24,None
760,20,25,None
761,15,20,None
762,14,19,None
763,23,28,None
764,23,28,None
765,20,25,None
766,38,33,None
767,28,33,None
768,18,23,None
769,19,24,None
770,19,24,None
771,18,23,None
772,82,37,None
773,11,16,None
774,12,17,None
775,18,23,None
776,23,28,None
777,38,33,None
778,14,19,None
779,71,26,None
780,18,23,None
781,19,24,None
782,10,15,None
783,18,23,None
784,19,24,None
785,14,19,None
786,19,24,None
787,59,34,None
788,25,30,None
789,21,26,None
790,27,32,None
791,22,27,None
792,39,34,None
793,15,20,None
794,48,33,None
795,60,35,None
796,9,14,None
797,19,24,None
798,14,19,None
799,24,29,None
800,35,30,None
801,20,25,None
802,22,27,None
803,32,27,None
804,20,25,None
805,21,26,None
806,30,25,None
807,38,33,None
808,16,21,None
809,21,26,None
810,62,37,None
811,21,26,None
812,36,31,None
813,16,21,None
814,12,17,None
815,17,22,None
816,62,37,None
817,21,26,None
818,24,29,None
819,26,31,None
820,81,36,None
821,33,28,None
822,18,23,None
823,27,32,None
824,20,25,None
825,21,26,None
826,61,36,None
827,13,18,None
828,35,30,None
829,44,29,None
830,31,26,None
831,53,38,None
832,53,38,None
833,33,28,None
834,16,21,None
835,31,26,None
836,65,40,None
837,36,31,None
838,30,35,None
839,22,27,None
840,37,32,None
841,24,29,None
842,77,42,None
843,14,19,None
844,25,30,None
845,39,34,None
846,42,37,None
847,29,24,None
848,25,30,None
849,87,42,None
850,24,29,None
851,14,19,None
852,13,18,None
853,14,19,None
854,19,24,None
855,29,24,None
856,13,18,None
857,28,23,None
858,61,36,None
859,87,42,None
860,21,26,None
861,35,30,None
862,50,35,None
863,42,27,None
864,48,23,None
865,13,18,None
866,43,38,None
867,14,19,None
868,40,35,None
869,15,20,None
870,20,25,None
871,47,32,None
872,30,25,None
873,40,25,None
874,11,16,None
875,22,27,None
876,16,21,None
877,19,24,None
878,29,24,None
879,19,24,None
880,10,15,None
881,51,36,None
882,40,25,None
883,47,32,None
884,35,30,None
885,49,34,None
886,53,28,None
887,22,27,None
888,20,25,None
889,17,22,None
890,13,18,None
891,11,16,None
892,18,23,None
893,51,36,None
894,16,21,None
895,52,37,None
896,44,29,None
897,19,24,None
898,20,25,None
899,23,28,None
900,29,34,None
901,13,18,None
902,27,32,None
903,48,33,None
904,13,18,None
905,19,24,None
906,20,25,None
907,20,25,None
908,23,28,None
909,21,26,None
910,32,27,None
911,35,30,None
912,18,23,None
913,23,28,None
914,24,29,None
915,35,30,None
916,7,12,None
917,32,37,None
918,10,15,None
919,16,21,None
920,22,27,None
921,41,36,None
922,52,37,None
923,24,29,None
924,16,21,None
925,54,39,None
926,31,36,None
927,21,26,None
928,32,27,None
929,72,37,None
930,25,30,None
931,9,14,None
932,29,34,None
933,26,31,None
934,70,35,None
935,28,33,None
936,24,29,None
937,32,37,None
938,30,25,None
939,30,35,None
940,31,26,None
941,24,29,None
942,23,28,None
943,23,28,None
944,22,27,None
945,25,30,None
946,23,28,None
947,47,32,None
948,67,42,None
949,10,15,None
950,29,24,None
951,36,31,None
952,24,29,None
953,36,31,None
954,18,23,None
955,19,24,None
956,27,22,None
957,12,17,None
958,27,32,None
959,22,27,None
960,36,31,None
961,27,32,None
962,27,32,None
963,16,21,None
964,17,22,None
965,16,21,None
966,38,33,None
967,19,24,None
968,20,25,None
969,13,18,None
970,17,22,None
971,27,32,None
972,29,24,None
973,14,19,None
